word_id,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10
17,-0.015608147,0.32414895,-0.0686994,-0.17174312,-0.4224596,0.4934221,-0.046093643,-0.43515292,0.1618778,0.285828
18,-0.6166386,0.28211614,0.34324616,-0.32193702,-0.47131908,0.637338,0.5836694,-0.49319977,0.19754554,0.40461493
19,-0.20392247,0.3690189,0.17585324,0.05621154,-0.07653745,0.7066065,-0.089348435,-0.15850262,0.008123438,0.35153115
20,-0.1624616,-0.0232189,0.54927385,-0.50204116,-0.32165018,0.31985158,-0.15636355,-0.5102512,-0.31770626,0.7953085
21,-0.1343349,-0.06066523,0.455927,0.22910936,0.17557687,0.6512027,-0.61232066,-0.27971798,-0.21564636,0.9122986
22,-0.34561962,0.16004105,-0.13220766,0.12695286,0.37909248,0.8790955,-0.46498534,-0.42979047,-0.034992196,0.92297465
23,-0.8920804,0.28456062,-0.079865515,0.017348241,-0.198352,0.39066926,-0.31282037,-0.3560682,0.46461102,0.25372678
24,-0.88132936,-0.08298665,-0.113222405,-0.11911437,0.3347313,0.7376942,-0.62289685,-0.12960815,0.2369001,0.2786547
25,-0.20784107,0.45961696,0.14018701,-0.21224919,0.50228566,0.5929644,-0.4478519,-0.830225,-0.4850854,-0.0068224403
26,0.038328577,0.08114546,0.46847206,0.036746584,0.60693103,0.73906446,-0.2027236,-0.48467675,0.06635878,-0.11452097
27,-0.3240022,0.59494364,0.50527716,-0.027573554,0.8762963,0.5611042,-0.14174573,-0.75413096,-0.25670874,-0.40944466
28,-0.60128933,0.6463631,0.5966015,0.16295989,0.115654565,0.26480296,0.13487831,-0.37411886,0.2299871,-0.5924706
29,-0.49717706,0.7233994,0.6799306,-0.5983492,0.5851946,0.06652885,0.30079138,-0.04647284,0.14107297,-0.29812023
30,-0.34020245,0.37535113,0.73654836,-0.58974147,-0.0047520995,-0.55827546,0.29416144,-0.20069352,0.30704615,-0.24939682
31,0.33632767,0.56877244,0.5673132,-0.9222037,0.7561897,-0.45843774,0.43885747,0.2870074,0.39631185,-0.17023276
32,0.028799722,0.28173298,0.8216927,-0.8791371,0.4296006,-0.45357382,0.67628473,0.22460617,0.16138175,-0.44567257
33,-0.066575244,0.2092838,0.67109054,-0.5121446,0.5642742,-0.70859057,0.20673811,-0.09404248,0.31190696,-0.39118358
34,-0.2541435,0.7277617,0.49815372,-0.5181103,0.6154234,-0.6238809,0.3032049,0.4435771,-0.19492365,-0.30361238
35,-0.33100367,0.3215757,0.8213973,-0.100894615,0.61664003,-0.9759769,0.38240635,0.24580844,-0.12060965,0.6937322
36,0.5378677,0.14818352,0.83897805,-0.30873153,0.58312494,-0.718409,0.32647884,0.60574585,0.19281831,-0.07155303
37,0.41045862,0.25007677,0.82712525,-0.5369682,0.15461019,-0.713948,0.17694494,0.76703113,-0.097142786,-0.20157516
38,0.6236677,-0.023389086,0.4781483,-0.13181159,0.42854533,-0.7990067,-0.09875817,-0.18015099,0.7087033,-0.09570415
39,0.45892575,0.2015636,0.8187585,0.20294438,0.5566196,-0.40931118,-0.4668398,0.5516412,0.0037222411,-0.7153235
40,-0.17286514,-0.6034605,0.7811483,0.62647116,0.38961568,-0.5197864,-0.099562876,0.6690731,-0.17404935,-0.25235805
41,-0.34556842,-0.66690403,0.57869774,0.82405144,0.4420078,0.05278769,-0.063410245,0.7098005,-0.24947938,0.057235237
42,0.05031974,-0.904332,0.78690255,0.3833847,0.40423733,-0.32463416,-0.5211302,0.56427234,0.12690037,0.02511533
43,0.25209254,-0.39230505,0.38753304,0.5534328,-0.04051711,-0.25204617,-0.2285809,0.53614503,0.55764526,-0.5626974
44,-0.24773961,-0.7663304,0.13348751,0.6743054,0.64558697,-0.57131493,-0.7595541,0.86007607,0.2535987,-0.7114896
